"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get file with empty filename.","tests.files","Fri Aug 15 08:05:52 UTC 2025","passed","Fri Aug 15 08:05:52 UTC 2025","TestFiles","test_files","",""
"","14","Get file with empty directory.","tests.files","Fri Aug 15 08:05:53 UTC 2025","passed","Fri Aug 15 08:05:53 UTC 2025","TestFiles","test_files","",""
"","282","Login with valid email and password.","tests.authentication","Fri Aug 15 08:05:45 UTC 2025","passed","Fri Aug 15 08:05:45 UTC 2025","TestAuthentication","test_login","",""
"","21","Get a list of exercises for the course","tests.exercises","Fri Aug 15 08:05:50 UTC 2025","passed","Fri Aug 15 08:05:50 UTC 2025","TestExercises","test_exercises","",""
"","23","Get course.","tests.courses","Fri Aug 15 08:05:46 UTC 2025","passed","Fri Aug 15 08:05:46 UTC 2025","TestCourses","test_courses","",""
"","286","Create user.","tests.users","Fri Aug 15 08:05:55 UTC 2025","passed","Fri Aug 15 08:05:55 UTC 2025","TestUsers","test_users","",""
"","27","Update exercise.","tests.exercises","Fri Aug 15 08:05:49 UTC 2025","passed","Fri Aug 15 08:05:49 UTC 2025","TestExercises","test_exercises","",""
"","15","Get file.","tests.files","Fri Aug 15 08:05:52 UTC 2025","passed","Fri Aug 15 08:05:52 UTC 2025","TestFiles","test_files","",""
"","27","Update course.","tests.courses","Fri Aug 15 08:05:47 UTC 2025","passed","Fri Aug 15 08:05:47 UTC 2025","TestCourses","test_courses","",""
"","23","Delete file.","tests.files","Fri Aug 15 08:05:54 UTC 2025","passed","Fri Aug 15 08:05:54 UTC 2025","TestFiles","test_files","",""
"","19","Delete exercise.","tests.exercises","Fri Aug 15 08:05:50 UTC 2025","passed","Fri Aug 15 08:05:50 UTC 2025","TestExercises","test_exercises","",""
"","286","Create user.","tests.users","Fri Aug 15 08:05:54 UTC 2025","passed","Fri Aug 15 08:05:55 UTC 2025","TestUsers","test_users","",""
"","32","Create course.","tests.courses","Fri Aug 15 08:05:46 UTC 2025","passed","Fri Aug 15 08:05:46 UTC 2025","TestCourses","test_courses","",""
"","9","Get file with with invalid file id.","tests.files","Fri Aug 15 08:05:54 UTC 2025","passed","Fri Aug 15 08:05:54 UTC 2025","TestFiles","test_files","",""
"
        Test the GET /users/me endpoint for an authenticated user.
        ","18","Get current user info.","tests.users","Fri Aug 15 08:05:56 UTC 2025","passed","Fri Aug 15 08:05:56 UTC 2025","TestUsers","test_users","",""
"","19","Get exercise.","tests.exercises","Fri Aug 15 08:05:48 UTC 2025","passed","Fri Aug 15 08:05:48 UTC 2025","TestExercises","test_exercises","",""
"","19","Create exercise.","tests.exercises","Fri Aug 15 08:05:48 UTC 2025","passed","Fri Aug 15 08:05:48 UTC 2025","TestExercises","test_exercises","",""
"","287","Create user.","tests.users","Fri Aug 15 08:05:55 UTC 2025","passed","Fri Aug 15 08:05:55 UTC 2025","TestUsers","test_users","",""
"","52","Create file.","tests.files","Fri Aug 15 08:05:51 UTC 2025","passed","Fri Aug 15 08:05:51 UTC 2025","TestFiles","test_files","",""
