"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Get file with empty directory.","tests.files","Thu Aug 14 11:17:29 UTC 2025","passed","Thu Aug 14 11:17:29 UTC 2025","TestFiles","test_files","",""
"","36","Update course.","tests.courses","Thu Aug 14 11:17:23 UTC 2025","passed","Thu Aug 14 11:17:23 UTC 2025","TestCourses","test_courses","",""
"","24","Get a list of exercises for the course","tests.exercises","Thu Aug 14 11:17:27 UTC 2025","passed","Thu Aug 14 11:17:27 UTC 2025","TestExercises","test_exercises","",""
"","23","Delete exercise.","tests.exercises","Thu Aug 14 11:17:26 UTC 2025","passed","Thu Aug 14 11:17:26 UTC 2025","TestExercises","test_exercises","",""
"","520","Create user.","tests.users","Thu Aug 14 11:17:29 UTC 2025","passed","Thu Aug 14 11:17:30 UTC 2025","TestUsers","test_users","",""
"","31","Get course.","tests.courses","Thu Aug 14 11:17:22 UTC 2025","passed","Thu Aug 14 11:17:22 UTC 2025","TestCourses","test_courses","",""
"","31","Update exercise.","tests.exercises","Thu Aug 14 11:17:24 UTC 2025","passed","Thu Aug 14 11:17:25 UTC 2025","TestExercises","test_exercises","",""
"","21","Create exercise.","tests.exercises","Thu Aug 14 11:17:24 UTC 2025","passed","Thu Aug 14 11:17:24 UTC 2025","TestExercises","test_exercises","",""
"","522","Create user.","tests.users","Thu Aug 14 11:17:30 UTC 2025","passed","Thu Aug 14 11:17:30 UTC 2025","TestUsers","test_users","",""
"","9","Get file with with invalid file id.","tests.files","Thu Aug 14 11:17:30 UTC 2025","passed","Thu Aug 14 11:17:30 UTC 2025","TestFiles","test_files","",""
"","61","Create file.","tests.files","Thu Aug 14 11:17:27 UTC 2025","passed","Thu Aug 14 11:17:27 UTC 2025","TestFiles","test_files","",""
"","562","Create user.","tests.users","Thu Aug 14 11:17:30 UTC 2025","passed","Thu Aug 14 11:17:31 UTC 2025","TestUsers","test_users","",""
"","24","Delete file.","tests.files","Thu Aug 14 11:17:29 UTC 2025","passed","Thu Aug 14 11:17:29 UTC 2025","TestFiles","test_files","",""
"","15","Get file.","tests.files","Thu Aug 14 11:17:28 UTC 2025","passed","Thu Aug 14 11:17:28 UTC 2025","TestFiles","test_files","",""
"","28","Create course.","tests.courses","Thu Aug 14 11:17:23 UTC 2025","passed","Thu Aug 14 11:17:23 UTC 2025","TestCourses","test_courses","",""
"","546","Login with valid email and password.","tests.authentication","Thu Aug 14 11:17:22 UTC 2025","passed","Thu Aug 14 11:17:22 UTC 2025","TestAuthentication","test_login","",""
"
        Test the GET /users/me endpoint for an authenticated user.
        ","15","Get current user info.","tests.users","Thu Aug 14 11:17:31 UTC 2025","passed","Thu Aug 14 11:17:31 UTC 2025","TestUsers","test_users","",""
"","20","Get exercise.","tests.exercises","Thu Aug 14 11:17:26 UTC 2025","passed","Thu Aug 14 11:17:26 UTC 2025","TestExercises","test_exercises","",""
"","18","Get file with empty filename.","tests.files","Thu Aug 14 11:17:28 UTC 2025","passed","Thu Aug 14 11:17:28 UTC 2025","TestFiles","test_files","",""
